player_name,TEAM,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,type,drtg,adrtg,dporpag,stops,mp,oreb,dreb,treb,ast,stl,blk,pts
Micah Burno,Arizona St.,P12,5,1.2,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,Jr,Jun-00,-0.74018,-3.62266,6.7,2022,72044,all,115.466,109.279,0.149714,1.2846,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Olmsted,Arizona St.,P12,12,8.9,114.9,4.7,50.0,50.85,4.8,15.8,3.5,13.0,2,4,0.5,2,4,0.5,0,0,0.0,1.2,0.0,100.0,Jr,10-Jun,0.228884,94.1422,5.8,2022,72047,all,109.451,102.08,0.648441,14.0565,7.5,0.3333,1.0,1.3333,0.1667,0.0,0.0833,0.5
Jordan Mains,Arizona,P12,2,0.4,117.9,32.5,50.0,50.0,29.3,0.0,0.0,0.0,0,0,0.0,0,1,0.0,1,2,0.5,28.2,0.0,0.0,Jr,6-Jun,0.31248,130.282,0.0,2022,72209,all,93.5178,95.4797,0.220526,0.935483,2.0,0.5,0.0,0.5,0.0,0.0,0.5,1.5
Carlos Rosario,Washington St.,P12,7,3.3,36.6,10.0,0.0,14.49,3.0,9.2,0.0,15.7,2,4,0.5,0,2,0.0,0,3,0.0,0.0,1.6,80.0,So,7-Jun,-0.948182,31.7133,4.3,2022,72278,all,99.4542,92.0476,0.6235,6.01203,5.2857,0.1429,0.4286,0.5714,0.0,0.1429,0.0,0.2857
Tristan da Silva,Colorado,P12,24,17.3,98.3,16.8,56.9,57.32,4.5,9.1,6.9,24.5,7,12,0.583,23,36,0.639,4,15,0.267,1.0,2.2,23.5,So,8-Jun,0.460574,99.605,4.3,2022,72333,all,97.3257,90.4396,1.18171,39.6809,9.25,0.3333,0.7083,1.0417,0.3333,0.3333,0.0833,2.7083
Nique Clifford,Colorado,P12,14,4.4,70.1,23.7,19.0,27.7,0.0,8.5,15.0,9.1,6,9,0.667,1,15,0.067,2,6,0.333,2.0,5.4,42.9,So,5-Jun,-0.125955,76.1812,6.4,2022,72334,all,102.5486149405863,102.52320046210707,1.454481953287563,60.69836936250312,17.025967088941663,0.7216740036949024,1.9957644761150686,2.717427922934817,1.081376510952756,0.5408927157561374,0.26356426497756813,5.890557640538397
Gabe Madsen,Utah,P12,2,1.3,82.6,15.8,50.0,50.0,9.1,9.8,0.0,29.6,0,0,0.0,0,0,0.0,1,3,0.333,0.0,4.7,0.0,So,5-Jun,-0.1804,76.591,6.7,2022,72346,all,98.1768,96.4276,0.641842,2.60464,6.0,0.5,0.5,1.0,0.0,0.5,0.0,1.5
Isaiah Johnson,Oregon St.,P12,15,5.8,72.1,16.6,38.5,39.82,6.4,11.1,7.7,29.4,3,7,0.429,5,12,0.417,0,1,0.0,4.8,4.1,53.8,So,6-Jun,-0.231989,71.7732,9.6,2022,72356,all,97.5391,92.17,0.603707,16.2804,6.0625,0.25,0.625,0.875,0.4375,0.5,0.25,1.4375
Logan Cremonesi,UCLA,P12,5,0.3,0.0,25.1,0.0,0.0,0.0,31.0,0.0,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0.0,0.0,200.0,So,7-Jun,-0.24142,-1.71119,10.0,2022,72362,all,100.155,97.1716,0.0835137,0.749398,0.8,0.0,0.2,0.2,0.0,0.0,0.0,0.0
Jaylen Clark,UCLA,P12,31,21.0,114.0,16.7,51.7,56.2,13.9,19.6,4.0,16.0,18,24,0.75,27,48,0.563,2,10,0.2,2.1,0.9,41.4,So,5-Jun,0.924183,116.033,4.7,2022,72365,all,101.247,94.5805,0.981183,49.8622,8.9677,1.0,1.4194,2.4194,0.1935,0.129,0.1613,2.5161
Rodrigue Andela,Oregon St.,P12,31,32.2,107.5,19.2,52.2,54.37,15.8,22.8,5.6,16.8,34,58,0.586,48,91,0.527,0,1,0.0,3.2,0.6,63.0,Sr,8-Jun,1.25838,112.498,5.8,2022,72468,all,101.555,94.6154,1.50775,77.8068,13.4062,1.7812,2.6562,4.4375,0.3438,0.125,0.375,4.3438
Luke O'Brien,Colorado,P12,10,3.5,112.3,17.9,50.0,47.17,8.4,10.6,8.7,0.0,1,4,0.25,4,7,0.571,2,7,0.286,0.0,1.3,28.6,So,7-Jun,0.418657,112.067,3.6,2022,72491,all,99.3076,97.0643,0.471439,7.3749,4.5,0.3,0.4,0.7,0.2,0.1,0.0,1.5
Jabari Walker,Colorado,P12,26,28.8,116.9,25.4,61.3,64.13,11.6,25.6,7.7,18.2,35,45,0.778,47,89,0.528,23,44,0.523,3.7,2.0,33.8,So,8-Jun,2.29261,131.935,6.0,2022,72492,all,90.1666,85.3066,2.06028,85.5252,14.1538,1.3077,3.0385,4.3462,0.5,0.4615,0.4615,7.6154
Ahmad Rand,Oregon St.,P12,3,1.6,37.3,12.2,0.0,0.0,18.4,30.4,0.0,50.2,0,0,0.0,0,2,0.0,0,0,0.0,6.6,3.1,0.0,Sr,8-Jun,-1.14413,30.3023,2.2,2022,72567,all,85.5515,86.9028,1.05019,3.47159,6.0,1.0,1.6667,2.6667,0.0,0.3333,0.3333,0.0
